time_sec,action,action_name
1652335491.855375,S,Double Blink
1652335494.673127,S,Double Blink
1652335496.538062,R,Right Wink
1652335499.251629,L,Left Wink
1652335502.770965,R,Right Wink
1652335504.838798,R,Right Wink
1652335507.9903061,S,Double Blink
1652335512.559177,S,Double Blink
1652335516.2533,L,Left Wink
1652335520.225869,R,Right Wink
1652335522.633131,R,Right Wink
1652335527.995444,L,Left Wink
1652335530.601921,L,Left Wink
1652335536.030572,L,Left Wink
1652335538.475036,L,Left Wink
1652335542.483167,L,Left Wink
1652335544.345976,S,Double Blink
1652335548.6180842,S,Double Blink
1652335553.8092968,S,Double Blink
1652335557.505365,L,Left Wink
1652335560.122237,L,Left Wink
1652335562.765995,S,Double Blink
1652335567.715931,S,Double Blink
1652335572.7421708,R,Right Wink
1652335574.837158,R,Right Wink
1652335576.50076,S,Double Blink
1652335579.0426629,S,Double Blink
1652335581.413984,S,Double Blink
1652335584.122408,R,Right Wink
1652335589.311886,S,Double Blink
1652335593.552175,S,Double Blink
1652335596.8085928,S,Double Blink
1652335600.096619,S,Double Blink
1652335602.26642,L,Left Wink
1652335604.405615,S,Double Blink
1652335608.676996,L,Left Wink
1652335613.8982458,S,Double Blink
1652335615.424433,L,Left Wink
1652335619.153664,R,Right Wink
1652335621.7659678,S,Double Blink
1652335625.052267,R,Right Wink
1652335626.711961,R,Right Wink
1652335630.172478,S,Double Blink
1652335632.879636,L,Left Wink
