time_sec,action,action_name
1652660671.384383,S,Double Blink
1652660673.25079,S,Double Blink
1652660679.2161689,S,Double Blink
1652660681.9993331,R,Right Wink
1652660687.809336,L,Left Wink
1652660693.388901,R,Right Wink
1652660698.047778,R,Right Wink
1652660700.690462,R,Right Wink
1652660704.177335,S,Double Blink
1652660709.8707469,L,Left Wink
1652660714.204702,L,Left Wink
1652660717.218334,L,Left Wink
1652660720.332944,R,Right Wink
1652660722.336919,R,Right Wink
1652660725.286777,S,Double Blink
1652660730.809474,R,Right Wink
1652660736.779073,S,Double Blink
1652660740.17388,L,Left Wink
1652660745.73169,L,Left Wink
1652660750.6817532,S,Double Blink
1652660754.409397,R,Right Wink
1652660759.758966,R,Right Wink
1652660764.5743182,R,Right Wink
1652660769.217592,L,Left Wink
1652660773.2502232,L,Left Wink
1652660775.11317,S,Double Blink
1652660780.9812548,S,Double Blink
1652660786.4174578,S,Double Blink
1652660790.626564,R,Right Wink
1652660794.971454,R,Right Wink
1652660798.187368,L,Left Wink
1652660800.2233112,S,Double Blink
1652660802.996962,S,Double Blink
1652660806.251462,S,Double Blink
1652660809.5117571,L,Left Wink
1652660813.950492,R,Right Wink
1652660817.1730711,L,Left Wink
1652660820.493422,L,Left Wink
1652660825.0940568,L,Left Wink
1652660831.0658822,L,Left Wink
1652660833.098591,R,Right Wink
1652660836.453043,R,Right Wink
1652660842.0461838,L,Left Wink
