time_sec,action,action_name
1652665344.8736188,R,Right Wink
1652665349.485497,S,Double Blink
1652665354.5138502,S,Double Blink
1652665357.1529322,R,Right Wink
1652665359.086659,S,Double Blink
1652665363.7063172,R,Right Wink
1652665368.0783172,L,Left Wink
1652665369.674947,L,Left Wink
1652665371.911114,L,Left Wink
1652665375.608762,L,Left Wink
1652665378.732524,R,Right Wink
1652665380.9720268,R,Right Wink
1652665382.840441,L,Left Wink
1652665386.3701172,L,Left Wink
1652665391.902671,L,Left Wink
1652665395.294571,S,Double Blink
1652665399.706217,L,Left Wink
1652665401.845313,R,Right Wink
1652665405.4705348,L,Left Wink
1652665410.716477,R,Right Wink
1652665412.645219,S,Double Blink
1652665414.443742,L,Left Wink
1652665419.595829,R,Right Wink
1652665423.419683,L,Left Wink
1652665426.1742332,S,Double Blink
1652665427.539743,L,Left Wink
1652665433.103751,R,Right Wink
1652665437.884393,S,Double Blink
1652665443.106312,S,Double Blink
1652665449.1445389,S,Double Blink
1652665451.366123,L,Left Wink
1652665453.784988,L,Left Wink
1652665457.329009,R,Right Wink
1652665463.8931131,L,Left Wink
1652665466.91083,L,Left Wink
1652665471.992234,L,Left Wink
1652665476.911231,S,Double Blink
1652665481.0148568,L,Left Wink
1652665486.543003,L,Left Wink
1652665491.4625368,L,Left Wink
1652665494.213251,L,Left Wink
1652665499.772202,L,Left Wink
1652665503.8168771,R,Right Wink
1652665506.009352,S,Double Blink
1652665510.6135411,L,Left Wink
1652665514.6935308,L,Left Wink
1652665516.689145,L,Left Wink
1652665520.594322,L,Left Wink
1652665523.677249,R,Right Wink
