time_sec,action,action_name
1652665784.068648,L,Left Wink
1652665789.534086,R,Right Wink
1652665795.035003,S,Double Blink
1652665800.116332,R,Right Wink
1652665806.082747,L,Left Wink
1652665808.498267,S,Double Blink
1652665811.989526,L,Left Wink
1652665817.547431,L,Left Wink
1652665822.428145,S,Double Blink
1652665826.4995,S,Double Blink
1652665829.59092,R,Right Wink
1652665835.1777248,L,Left Wink
1652665838.500461,R,Right Wink
1652665844.237667,R,Right Wink
1652665848.440746,R,Right Wink
1652665851.827816,L,Left Wink
1652665854.19961,S,Double Blink
1652665856.7321858,R,Right Wink
1652665862.9758332,S,Double Blink
1652665867.894683,R,Right Wink
1652665870.910689,R,Right Wink
1652665875.415898,L,Left Wink
1652665878.534647,R,Right Wink
1652665881.9652858,L,Left Wink
1652665886.503853,L,Left Wink
1652665891.723216,S,Double Blink
1652665893.751461,L,Left Wink
1652665896.031482,R,Right Wink
1652665898.411781,L,Left Wink
1652665904.51021,S,Double Blink
1652665906.7197032,L,Left Wink
1652665912.365371,L,Left Wink
1652665914.026957,R,Right Wink
1652665916.168839,S,Double Blink
1652665921.48307,S,Double Blink
