time_sec,action,action_name
1652665610.0745971,R,Right Wink
1652665613.799739,S,Double Blink
1652665618.379784,L,Left Wink
1652665622.106852,R,Right Wink
1652665625.57275,L,Left Wink
1652665627.906658,R,Right Wink
1652665633.48896,R,Right Wink
1652665637.691854,L,Left Wink
1652665641.6242502,S,Double Blink
1652665646.80317,L,Left Wink
1652665648.840498,L,Left Wink
1652665653.9338408,R,Right Wink
1652665656.875547,R,Right Wink
1652665662.538534,S,Double Blink
1652665665.595411,R,Right Wink
1652665668.854513,R,Right Wink
1652665673.8315442,R,Right Wink
1652665677.619038,R,Right Wink
1652665682.062526,R,Right Wink
1652665684.670517,L,Left Wink
1652665686.7086558,R,Right Wink
1652665691.6865878,S,Double Blink
1652665695.556984,S,Double Blink
1652665698.277308,L,Left Wink
1652665702.336266,L,Left Wink
1652665708.09604,L,Left Wink
1652665709.9991791,L,Left Wink
1652665711.9277842,R,Right Wink
1652665713.959831,R,Right Wink
1652665717.829286,S,Double Blink
1652665722.711764,S,Double Blink
1652665725.5557818,L,Left Wink
1652665729.520344,S,Double Blink
1652665734.091774,L,Left Wink
1652665738.435329,S,Double Blink
1652665741.826866,R,Right Wink
1652665746.404829,S,Double Blink
1652665749.8192828,L,Left Wink
1652665753.2484858,R,Right Wink
1652665755.72454,R,Right Wink
1652665757.286156,S,Double Blink
1652665761.83127,L,Left Wink
1652665766.655787,R,Right Wink
