time_sec,action,action_name
1652665181.0409951,L,Left Wink
1652665186.77806,R,Right Wink
1652665188.94981,S,Double Blink
1652665192.179527,R,Right Wink
1652665196.4104152,L,Left Wink
1652665201.463712,R,Right Wink
1652665203.966658,R,Right Wink
1652665209.6362429,S,Double Blink
1652665211.837297,R,Right Wink
1652665216.593808,L,Left Wink
1652665220.152104,L,Left Wink
1652665225.868219,R,Right Wink
1652665230.3451872,R,Right Wink
1652665234.684042,L,Left Wink
1652665239.736213,S,Double Blink
1652665242.041433,S,Double Blink
1652665247.3008158,L,Left Wink
1652665249.268736,S,Double Blink
1652665250.8051438,L,Left Wink
1652665254.558432,S,Double Blink
1652665256.351789,S,Double Blink
1652665259.915713,S,Double Blink
1652665263.238681,S,Double Blink
1652665268.588367,R,Right Wink
1652665273.73983,S,Double Blink
1652665279.2309031,L,Left Wink
1652665284.5875242,R,Right Wink
1652665286.686858,L,Left Wink
1652665290.418628,L,Left Wink
1652665294.012289,S,Double Blink
1652665297.460981,L,Left Wink
1652665301.055617,S,Double Blink
1652665306.077844,L,Left Wink
1652665308.385045,L,Left Wink
1652665310.658807,S,Double Blink
1652665316.489439,R,Right Wink
1652665318.6936471,S,Double Blink
