time_sec,action,action_name
1652407514.859675,L,Left Wink
1652407518.995944,L,Left Wink
1652407523.807798,R,Right Wink
1652407528.2534568,L,Left Wink
1652407530.049759,L,Left Wink
1652407534.2592692,R,Right Wink
1652407539.40224,L,Left Wink
1652407544.08445,S,Double Blink
1652407547.648709,R,Right Wink
1652407550.800341,L,Left Wink
1652407555.5554738,R,Right Wink
1652407557.423764,L,Left Wink
1652407559.5565891,L,Left Wink
1652407564.272394,S,Double Blink
1652407568.68088,R,Right Wink
1652407573.0487611,L,Left Wink
1652407577.692702,S,Double Blink
1652407582.818346,R,Right Wink
1652407585.222442,L,Left Wink
1652407587.458923,R,Right Wink
1652407591.834295,S,Double Blink
1652407596.1786392,L,Left Wink
1652407601.779976,L,Left Wink
1652407603.3386612,S,Double Blink
1652407604.896121,L,Left Wink
1652407607.136823,S,Double Blink
1652407612.586199,S,Double Blink
1652407618.622389,S,Double Blink
1652407621.135319,S,Double Blink
1652407623.90886,L,Left Wink
1652407626.752037,R,Right Wink
1652407631.1612391,R,Right Wink
1652407634.824105,R,Right Wink
1652407637.8016121,S,Double Blink
1652407642.135647,S,Double Blink
1652407644.5747101,R,Right Wink
1652407648.9180381,S,Double Blink
1652407650.5137112,L,Left Wink
1652407653.6337001,S,Double Blink
1652407658.142397,L,Left Wink
1652407664.0079622,S,Double Blink
1652407666.850661,L,Left Wink
1652407672.717864,S,Double Blink
1652407676.883342,R,Right Wink
