# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	5.4660
2,	9.4810
3,	15.5225
4,	19.6822
1,	24.4704
2,	31.8122
3,	39.6572
4,	45.8211
5,	55.9256
1,	72.6606
2,	76.3728
3,	79.6318
3,	83.5061
4,	85.9390
5,	92.1900
5,	97.0601
5,	101.7515
1,	105.5802
2,	110.6268
3,	114.7071
4,	117.8626
4,	123.3867
5,	127.7188
5,	131.8139
1,	136.4367
2,	139.3090
3,	143.7337
4,	146.1968
5,	150.3913
